X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,medianLineIntensity,varLineIntensity,meanNumPixels15,meanNumPixels30,meanNumPixels60,meanNumPixels90,meanNumPixels120,meanNumPixels150,meanNumPixels180,medianNumPixels15,medianumPixels30,medianNumPixels60,medianNumPixels90,medianNumPixels120,medianNumPixels150,medianNumPixels180,varNumPixels15,varNumPixels30,varNumPixels60,varNumPixels90,varNumPixels120,varNumPixels150,varNumPixels180,medianMLength15,medianMLength30,medianMLength60,medianMLength90,medianMLength120,medianMLength150,medianMLength180,varMLength15,varMLength30,varMLength60,varMLength90,varMLength120,varMLength150,varMLength180,medianMWidth15,medianMWidth30,medianMWidth60,medianMWidth90,medianMWidth120,medianMWidth150,medianMWidth180,varMWidth15,varMWidth30,varMWidth60,varMWidth90,varMWidth120,varMWidth150,varMWidth180,Overhang,Wall,d_edge_left,d_edge_right,d_over_left,d_over_right,d_col,d_over_z,NoLines,prev_Wall,prev_Overhang,prev_NoLines,prev_Power,prev_d_edge_right,prev_d_edge_left,prev_d_over_left,prev_d_over_right,prev_d_col,prev_d_over_z
0,0.05,1.5,0.05,0.05,128,2049853.71014493,2047159.0,8618641296.50298,6046.91304347826,1516.8115942029,815.507246376812,603.565217391304,490.086956521739,418.840579710145,365.884057971014,5870.0,1515.0,779.0,561.0,468.0,401.0,360.0,1422266.4629156,162120.243393009,22583.2536231884,13798.5728900256,9628.05115089514,7414.194799659,5598.04518329071,63.0,57.0,42.0,34.0,30.0,26,24.0,290.499147485081,220.222932651321,59.9786871270247,56.1628303495311,48.2510656436488,40.4398976982097,30.2932651321398,46.0,32.0,25.0,21.0,20.0,19.0,17.0,38.7412008281573,32.703933747412,8.30724637681159,6.61718426501035,5.06501035196687,4.69668737060042,4.25859213250518,0,0,0.05,3.35,3.35,3.35,0.0,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.1,1.5,0.1,0.05,165,2180264.63768116,2168581.0,7006851079.20503,7735.15942028986,2404.82608695652,1282.31884057971,857.492753623188,666.173913043478,545.202898550725,458.695652173913,7667.0,2466.0,1280.0,817.0,636.0,525.0,440.0,2057274.66538789,313119.704603581,56824.3674339301,17386.0771526002,7811.61636828645,4471.92881500426,2853.00895140665,79.0,63.0,45.0,34.0,31.0,27,25.0,172.038789428815,110.519607843137,56.0323955669224,35.9275362318841,21.9876385336743,18.9569479965899,16.4441602728048,54.5,41.0,31.0,25.0,22.0,20.0,18.0,24.5184265010352,27.5403726708075,8.8,4.85797101449275,3.20103519668737,4.41428571428571,4.17805383022774,0,0,0.05,3.3,3.35,3.35,0.0,1.7,2.0,0.0,0.0,1.0,128.0,3.35,0.05,3.35,3.35,0.0,1.7
0,0.15,1.5,0.15,0.05,155,2092855.02898551,2078316.0,6023359203.91091,7568.15942028986,1916.71014492754,895.985507246377,612.623188405797,465.550724637681,375.68115942029,317.652173913043,7501.0,1793.0,871.0,600.0,451.0,354.0,293.0,1390793.98891731,156208.385336743,15124.1321398124,9095.73827791987,6336.66283034953,5113.36743393009,4384.02429667519,76.0,57.0,37.0,29.0,25.0,22,19.0,116.545183290708,62.303495311168,37.4373401534527,29.6462063086104,12.9236999147485,7.68286445012788,6.95012787723785,53.5,42.5,30.0,25.5,22.0,21.0,19.0,19.5817805383023,28.3527950310559,16.6542443064182,10.0093167701863,7.34596273291926,6.20207039337474,5.23726708074534,0,0,0.09999999999999999,3.25,3.35,3.35,0.0,1.7,2.9999999999999996,0.0,0.0,2.0,165.0,3.3,0.05,3.35,3.35,0.0,1.7
0,0.2,1.5,0.2,0.05,150,2011202.26086957,2008513.0,3956852878.19565,5753.69565217391,1373.01449275362,756.376811594203,543.840579710145,433.057971014493,358.144927536232,307.811594202899,5638.0,1332.0,745.0,548.0,428.0,341.0,286.0,892638.597186701,36031.8674339301,5980.59121909633,2686.2242114237,2738.3789428815,2732.27280477408,2474.65515771526,64.0,49.0,33.0,25.0,22.0,20,18.0,12.6628303495311,16.7728047740835,13.0029838022165,4.10400682011935,4.65601023017903,4.39684569479966,3.71781756180733,44.0,34.5,25.5,22.0,20.0,18.0,17.0,30.8455486542443,27.7300207039337,16.7817805383023,15.2679089026915,15.4832298136646,15.644099378882,16.6171842650104,0,0,0.15000000000000002,3.1999999999999997,3.35,3.35,0.0,1.7,4.0,0.0,0.0,2.9999999999999996,155.0,3.25,0.09999999999999999,3.35,3.35,0.0,1.7
0,0.25,1.5,0.25,0.05,141,1921216.31884058,1913517.0,3472263331.39685,4645.76811594203,947.913043478261,527.985507246377,393.884057971014,318.057971014493,271.101449275362,239.173913043478,4591.0,916.0,472.0,354.0,287.0,243.0,216.0,449778.592497869,11865.6099744246,12152.573316283,7325.42753623188,4877.11423699915,3496.56308610401,2725.96930946291,51.0,39.0,26.0,21.0,18.0,16,15.0,23.2864450127877,10.5179028132992,4.93776641091219,3.97953964194373,3.60528559249787,3.10528559249787,2.43137254901961,32.0,26.0,21.0,19.0,17.0,16.0,16.0,28.0101449275362,17.8418219461698,14.0488612836439,12.9432712215321,10.8706004140787,8.58819875776397,7.09089026915114,0,0,0.2,3.15,3.35,3.35,0.0,1.7,5.0,0.0,0.0,4.0,150.0,3.1999999999999997,0.15000000000000002,3.35,3.35,0.0,1.7
0,0.3,1.5,0.3,0.05,165,1990928.33333333,1989986.0,4582210489.87255,5620.11594202899,1205.72463768116,614.898550724638,444.405797101449,355.797101449275,299.594202898551,261.797101449275,5559.0,1153.0,612.0,449.0,358.0,302.0,262.0,832621.16283035,29959.8789428815,7428.09249786871,2331.59761295823,1659.22293265132,1429.39173060529,1063.19352088662,65.0,47.0,30.0,25.0,22.0,19,17.0,23.4846547314578,9.74467178175618,14.1150895140665,6.192242114237,5.41474850809889,4.15004262574595,3.16666666666667,42.0,30.0,24.0,21.0,19.0,18.0,17.0,40.708281573499,15.4884057971014,4.39254658385093,4.25341614906832,3.45341614906832,2.7952380952381,2.07536231884058,0,0,0.25,3.1,3.35,3.35,0.0,1.7,5.999999999999999,0.0,0.0,5.0,141.0,3.15,0.2,3.35,3.35,0.0,1.7
0,0.35,1.5,0.35,0.05,189,2168756.65217391,2156232.0,7668811492.05371,7913.98550724638,2148.72463768116,949.68115942029,648.420289855072,522.971014492754,446.014492753623,393.420289855072,7747.0,1858.0,925.0,652.0,517.0,438.0,384.0,1571776.19096334,370123.614236999,14575.4850809889,2356.21781756181,2138.96973572037,2171.24978687127,2083.86487638534,78.0,64.0,45.0,34.0,29.0,26,24.0,113.281756180733,62.5856777493606,43.7446717817562,18.6649616368286,14.385336743393,10.5323955669224,8.97868712702472,52.0,40.0,27.0,24.0,22.0,20.0,19.0,8.09627329192547,21.8983436853002,7.14886128364389,3.84596273291925,3.60993788819876,3.35900621118012,2.35942028985507,0,0,0.3,3.05,3.35,3.35,0.0,1.7,6.999999999999999,0.0,0.0,5.999999999999999,165.0,3.1,0.25,3.35,3.35,0.0,1.7
0,0.4,1.5,0.4,0.05,167,2055657.94202899,2042442.0,5607034365.026,6679.4347826087,1682.3768115942,777.144927536232,533.36231884058,423.768115942029,354.840579710145,307.260869565217,6620.0,1610.0,772.0,544.0,433.0,354.0,295.0,1049964.36700767,65181.6500426257,11911.4492753623,6797.5873827792,5212.23955669224,4500.40068201193,3833.1368286445,71.0,55.0,35.0,28.0,24.0,21,19.0,65.8265132139812,57.4313725490196,14.9501278772379,6.64450127877238,4.49658994032396,4.69352088661551,4.85592497868713,53.0,37.0,26.0,22.0,20.0,19.0,17.0,24.8904761904762,35.9430641821946,10.0548654244306,6.06293995859213,5.1751552795031,4.59233954451346,4.89523809523809,0,0,0.35000000000000003,3.0,3.35,3.35,0.0,1.7,8.0,0.0,0.0,6.999999999999999,189.0,3.05,0.3,3.35,3.35,0.0,1.7
0,0.45,1.5,0.45,0.05,154,1943961.84057971,1945443.0,3913290005.48892,5416.59420289855,1133.0,572.710144927536,421.289855072464,345.289855072464,292.347826086957,256.202898550725,5384.0,1095.0,570.0,409.0,331.0,282.0,251.0,733715.862318841,39365.1470588235,5723.12063086104,3031.82651321398,2322.15004262575,1648.81841432225,1228.51705029838,61.0,45.0,30.0,24.0,21.0,19,17.0,47.343137254902,26.5707587382779,13.3699914748508,5.99744245524297,5.92114236999148,4.17561807331628,3.26768968456948,40.0,30.0,24.0,21.0,18.5,17.0,16.0,52.7049689440994,21.7648033126294,3.59855072463768,2.39668737060041,2.02587991718426,2.07639751552795,2.17080745341615,0,0,0.4,2.9499999999999997,3.35,3.35,0.0,1.7,9.0,0.0,0.0,8.0,167.0,3.0,0.35000000000000003,3.35,3.35,0.0,1.7
0,0.5,1.5,0.5,0.05,154,1972020.44927536,1978272.0,3684887319.01577,5712.79710144928,1190.97101449275,617.31884057971,449.101449275362,361.927536231884,302.710144927536,264.869565217391,5748.0,1187.0,626.0,461.0,373.0,310.0,268.0,727565.428815004,15828.205029838,4020.69096334186,2423.32779198636,1823.9505541347,1312.4441602728,946.056265984655,65.0,49.0,31.0,25.0,22.0,19,18.0,51.2472293265132,39.1436487638534,6.58056265984655,2.70588235294118,2.33802216538789,2.21398124467178,1.5383631713555,45.0,30.5,23.5,21.0,19.0,18.0,17.0,19.9461697722567,12.7140786749482,3.96356107660456,3.20683229813665,1.77308488612837,1.43188405797101,1.31262939958592,0,0,0.45,2.9,3.35,3.35,0.0,1.7,10.0,0.0,0.0,9.0,154.0,2.9499999999999997,0.4,3.35,3.35,0.0,1.7
