Feature,Importance,Std
Z,0.9306008386611939,0.0780142045267116
d_edge_left,0.4025423936247825,0.013712531914510205
d_edge_right,0.3514902377128601,0.036339757587895864
NoLines,0.32572347038984295,0.055865526146257755
d_over_left,0.3069177879691124,0.028979306113256217
d_over_right,0.1981343792080879,0.034052445196760775
Wall,0.13802014416456224,0.044955007409675125
d_over_z,0.0995939620733261,0.020860194336722326
d_col,0.08769609147310257,0.016080266977007953
Overhang,0.029271799832582473,0.008326895481779902
Power,0.0,0.0
