index,current_power,optimal_power,power_change,error_improvement,optimization_success,X_Start,Y_Start,X_End,Y_end,Z,Overhang,Wall,original_meanLineIntensity,original_meanNumPixels15,original_meanNumPixels30,original_meanNumPixels60,original_Median_meltLength,predicted_meanLineIntensity,predicted_meanNumPixels15,predicted_meanNumPixels30,predicted_meanNumPixels60,predicted_Median_meltLength,target_meanLineIntensity,target_meanNumPixels15,target_meanNumPixels30,target_meanNumPixels60,target_Median_meltLength
0,180.0,184.93024572802062,4.930245728020623,0.03387873432286634,True,0.0,0.05,1.5,0.05,0.5,0.0,0.0,1828807.15730337,4884.79775280899,1195.75280898876,683.483146067416,42.0,1936244.9,6557.069,1229.0952,616.20514,37.35036,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
1,180.0,194.21691229091851,14.216912290918515,0.018517206917768383,True,0.0,0.1,1.5,0.1,0.5,0.0,0.0,1914433.03370787,6706.26966292135,1619.43820224719,806.85393258427,41.0,1922630.8,6309.2812,1170.794,611.2267,38.260197,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
2,180.0,182.6835531491762,2.6835531491761913,0.11243539551395772,True,0.0,0.15,1.5,0.15,0.5,0.0,0.0,1910229.66292135,6109.4606741573,1612.1797752809,774.966292134831,43.0,1943051.5,6653.132,1346.2926,683.8872,37.64861,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
3,180.0,180.0,0.0,0.3121307491163412,True,0.0,0.2,1.5,0.2,0.5,0.0,0.0,1905873.7752809,5864.94382022472,1534.77528089888,801.258426966292,43.0,1878017.1,5653.3164,1479.6996,791.4807,41.272663,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
4,180.0,180.0,0.0,0.34331396542308223,True,0.0,0.25,1.5,0.25,0.5,0.0,0.0,1844208.93258427,5074.49438202247,1490.02247191011,846.966292134831,41.0,1868165.0,5590.797,1494.5255,808.8909,40.482765,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
5,180.0,180.0,0.0,0.3849614244462919,True,0.0,0.3,1.5,0.3,0.5,0.0,0.0,1822534.13483146,4972.25842696629,1404.70786516854,721.876404494382,38.0,1857691.2,5536.2905,1515.1433,828.307,39.654552,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
6,180.0,180.0,0.0,0.48209526968331073,True,0.0,0.35,1.5,0.35,0.5,0.0,0.0,1812451.25842697,5008.38202247191,1466.30337078652,841.831460674157,37.0,1853612.4,5524.8774,1567.7961,862.42334,39.071995,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
7,180.0,180.0,0.0,0.6347215170865609,True,0.0,0.4,1.5,0.4,0.5,0.0,0.0,1856149.73033708,5334.29213483146,1655.34831460674,943.629213483146,36.0,1854552.2,5569.533,1645.2095,905.89124,39.067947,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
8,180.0,180.0,0.0,0.814513981903179,True,0.0,0.45,1.5,0.45,0.5,0.0,0.0,1874828.05617978,5639.15730337079,1794.44943820225,948.966292134831,41.0,1856846.8,5619.473,1726.9856,949.1575,39.309532,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
9,180.0,170.76567603691194,-9.234323963088059,0.011217663741884472,True,0.0,0.5,1.5,0.5,0.5,0.0,0.0,1853753.71910112,5785.57303370786,1573.07865168539,793.606741573034,38.0,1923306.0,6258.117,1154.1049,604.4926,37.24363,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
11,180.0,180.0,0.0,0.055728813970770306,True,0.0,0.6,1.5,0.6,0.5,0.0,0.0,1789147.61797753,4756.92134831461,1050.20224719101,556.516853932584,36.0,1792231.9,4718.1807,1036.0771,547.7716,34.21155,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
12,180.0,180.0,0.0,0.0843789989719829,True,0.0,0.65,1.5,0.65,0.5,0.0,0.0,1792616.7752809,4635.59550561798,950.370786516854,505.921348314607,34.0,1787714.6,4619.629,962.3067,508.13354,34.077652,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
13,180.0,179.01368647095174,-0.9863135290482603,0.03097977242986886,True,0.0,0.7,1.5,0.7,0.5,0.0,0.0,1793482.23595506,4635.57303370786,946.011235955056,486.494382022472,36.0,1874650.1,5600.217,1209.3618,621.418,38.45558,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
14,180.0,180.0,0.0,0.03359595574160063,True,0.0,0.75,1.5,0.75,0.5,0.0,0.0,1807640.20224719,4758.12359550562,1004.2808988764,525.808988764045,40.0,1820507.6,4960.444,1067.7922,553.6534,36.63783,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
17,180.0,180.0,0.0,0.06298725183440924,True,0.0,0.9,1.5,0.9,0.5,0.0,0.0,1863253.15730337,5551.73033707865,1324.88764044944,661.573033707865,40.0,1853263.5,5379.1924,1258.4834,646.3677,39.091957,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
18,180.0,180.0,0.0,0.06525037898987884,False,0.0,0.95,1.5,0.95,0.5,0.0,0.0,1918674.42696629,5861.93258426966,1496.79775280899,767.505617977528,44.0,1853335.8,5382.3833,1262.5798,648.59204,39.10625,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
20,180.0,180.0,0.0,0.05355895122213391,True,0.0,1.05,1.5,1.05,0.5,0.0,0.0,1822431.31460674,5041.10112359551,1282.70786516854,683.033707865169,37.0,1847653.1,5311.6333,1236.8579,636.33563,38.7248,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
21,180.0,180.0,0.0,0.048846832650001094,True,0.0,1.1,1.5,1.1,0.5,0.0,0.0,1796136.35955056,4643.57303370786,1071.86516853933,580.483146067416,34.0,1844738.4,5275.1953,1224.3088,630.2784,38.54099,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
22,180.0,179.85195376138554,-0.1480462386144552,0.04421277089330697,True,0.0,1.15,1.5,1.15,0.5,0.0,0.0,1782058.42696629,4455.13483146067,1021.94382022472,552.134831460674,35.0,1848538.2,5308.702,1217.229,626.4753,38.504726,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
23,180.0,180.0,0.0,0.04377441817479716,True,0.0,1.2,1.5,1.2,0.5,0.0,0.0,1807107.0,4574.89887640449,1038.11235955056,560.078651685393,38.0,1841211.6,5229.195,1209.3448,622.3551,38.287605,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
25,180.0,180.0,0.0,0.045319242263868756,True,0.0,1.3,1.5,1.3,0.5,0.0,0.0,1864696.28089888,5727.80898876405,1320.76404494382,621.47191011236,39.0,1842886.9,5250.371,1216.7223,624.39923,38.36454,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
27,180.0,180.0,0.0,0.046822489646272676,True,0.0,1.4,1.5,1.4,0.5,0.0,0.0,1845375.41573034,5639.02247191011,1438.5393258427,715.067415730337,39.0,1844631.8,5269.276,1223.076,626.1689,38.453262,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
28,180.0,180.0,0.0,0.04496438529799872,True,0.0,1.45,1.5,1.45,0.5,0.0,0.0,1822607.69662921,5196.41573033708,1341.2808988764,666.38202247191,39.0,1843152.6,5250.0884,1216.4559,623.7058,38.353527,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
29,180.0,180.0,0.0,0.04305526684777612,True,0.0,1.5,1.5,1.5,0.5,0.0,0.0,1876454.08988764,5800.1797752809,1469.57303370787,666.134831460674,36.0,1841583.0,5229.1123,1208.9396,620.9944,38.24867,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
32,180.0,178.20720334206507,-1.7927966579349288,0.02147517299800344,True,0.0,1.65,1.5,1.65,0.5,0.0,0.0,1810065.3258427,4852.60674157303,1322.73033707865,681.337078651685,39.0,1887713.0,5742.712,1185.8688,613.70575,38.451385,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
